"nombre","titulo_comentario","contenido_comentario"
"Burger Bar by El Corral","Qué pasa con este Corra?","Vinimos hoy con mi esposa a desayunar y pedimos dos jugos de naranja mandarina, un calentado, canasta de almojabana y pan de yuca, capuchino y te. Solicitamos que todo lo trajeran al tiempo. Primero llegó el calentado tibio y lo devolvimos, alcancé a pedir otro...Más"
"Shamua","Decepción absoluta!!","a la llegada al bar se ve que no es un simple negocio de cócteles, sino mas de fiesta y diversión, o así fue mi primera impresión, música con alto volumen, gente aglomerada en la entrada. 
la fachada y al pasar esa puerta de madera...Más"
"TGI Friday's","Tan decepcionado","Référence al de la calle Chile (72). . .
Nuestra comida fue decepcionante, ya he invitado a mis amigos y la comida estaba fría. 3 platos de costillas, 1 de carne. . .

Después de comer con los dedos te quita, pedimos camarera para toallitas...húmedas, ella me dijo que no tenían ellos.

¡Nunca más!Más"
"El Esturion","El peor restaurante que he ido en Bogotá","Fuimos a celebrar el cumpleaños a una compañera, los platos se tardaron una hora y 30 minutos y los trajeron mal. Una persona que no come carne solicito una chaufa sin carne y el plato venía con mucha carne, se le dijo al mesero y...Más"
"Casa Vieja Restaurantes","servicio horrible, Mediocre comida","Yo no recomendaría este restaurante. tiene un ambiente de desperfectos. Tuve dos insectos arrastrándose en la mesa que tuve que quitar. Además, me sirve vino en un vaso quebrado. Cuando me dijeron que la camarera nos cambiamos al vidrio, que fue parte lleno, y lo...reemplazó con otro, sólo a cobrar otra copa. Yo no estaba satisfecho con el servicio. La comida está bien, pero hay muchas mejores restaurantes locales con mucho mejor servicio y precio. Recomiendo mucho este lugar alejado.Más"
"Jungla Kumba","Iugar incómodo","Es un lugar incómodo por lo pequeño, mi sobrina se asusto porque el lugar es frío, oscuro. Nada que ver! El menú no es el más indicado para niños y muy costoso para la calidad de los alimentos! Hay mejores lugares y más económicos."
"Sopas de Mamá & Postres de la Abuela","No nos dejaron entrar","En centro mayor no nos dejaron entrar por q El Niño llevaba la cajita feliz. En serio un restaurante prefiere perder 3 clientes consumibles por qué un niño entra con un comestible?????"
"Pesquera Jaramillo Santa Barbara","La peor cazuela de mariscos","Una cazuela de mariscos que antes era famosa por su elaborada cocción hoy se convierte en una mala crema marinera que solo tiene calamares y pocos maricos realmente una experiencia decepcionante, además de tener los precios mas altos qur puedas encontrar en restaurantes de este...Más"
"restaurante mirador la paloma","No vaya a este sitio, es muy malo!","En el mes de Agosto 2014 fui con mi familia de turismo por Colombia y visitamos varios sitios en Bogotoa y sus alrededores, incluyendo la laguna de Guatavita. De regreso de este hermoso sitio paramos a comer una cena temprano en La Paloma, antes de...Más"
"Cafe Amarti","NI COCINA NI SERVICIO","LLegamos recomendados por un amigo. Pedimos carne, no tenían. Nos ofrecieron verduras, secas y sin sabor a nada..Luego una carne de 70.000 pesos y era un trozo de puro nervio abierto por la mitad, una comida pésima de calidad y sabor.Meseros muchos, pero viendo la...Más"
"Centrico Restaurante Bar","Entre muy malo y malísimo","Entre muy malo y malísimo 

Servicio deja mucho que desear , pero sobre todo la comida es muy mala y su carta es de las peores que he visto 
Lo único que vale la pena son las vistas 
En cuanto al precio de los platos...caros para lo que te dan 

Por último decir que si visitáis su web el sitio pinta bien , pero una vez cenéis  vuestra opinión  será totalmente radicalMás"
"Cantina y Punto","Pésimo sabor pésimo precio! Toca esperar 30 mins de fila y cero rico el restaurante! Cero recomendando","Mal sabor! Poco comida y alto costo! Adicionalmente los meseros un poco olvidadizos! No recomendable debe mejorar en mucho"
"ConoSur","El peor lugar para comer","No se que es peor, si la displicencia del personal o los fríos y terribles platos. No pierdan su dinero y tiempo"
"Dhaba","Pésima atencion","Pésima atención, no lo recomiendo. Lean las otras opiniones, son groseros y atienden como si fueran el único restaurante en Bogotá. El hecho que tengan buena comida NO justifica la mala atención."
"Restaurante Daniel","No recomendable","El servicio es bueno y el sitio agradable, sin embargo la comida es bastante regular. Platos condimentados en exceso y con demasiada sal, la carne se pidió término medio y la entregaron bien hecha. No volvería ni lo recomendaría."
"Pequeña Italia","Pésima higiene- calle 100","Aunque la comida es muy rica, las cocineras estuvieron cocinando nuestra pasta mientras veían videos en el celular y al mismo tiempo cogían los implementos de aseo como la escoba. 
Después de almorzar no se lavaron las manos. 
Qué lástima que un sitio tan rico...se dañe por la mala higiene de sus trabajadores.Más"
"Jeno's Pizza","Pésima pizza","Después de muchos años sin pedir, decido darle una nueva oportunidad a Jenos. Y vaya sorpresa me llega una pizza sin salsa y sin queso... solo masa y jamón.

Pizza hecha a las patadas y sin sabor. 

No volveré a pedir ahí."
"Coctel del Mar","No voy a volver","Pesima la comida .....canillos de calamar apanados mas duros que una pared de concreto....el filete apanado de mi hijo lleno de aceite....al cortar la apanadura salia el aceite de coccion ...vergonzoso .....es mejor que cambien chef del restaurante ......a pensar que ustedes son los que...Más"
"Mi Viejo","mala","Digamos, que el sitio tiene un aire a bodegón porteño, sin embargo, su comida no tiene nada de estos. Empecé pidiendo un matambre a la pizza, el cual no tenían, por lo que viendo los valores exorbitantes que manejan vs lo que ofrecen, me incline...Más"
"Cactus Restaurante & Bar","Malisimo","Fui a almorzar a este restaurante con un cliente ya que habia escuchado buenos comentarios. Sin embargo, podria decur q es la carne mas mala que he comido en Bogota, oedi un Bife de chorizo que era puro cartilago, me lo cambiaron por otro que...Más"
"restaurante mirador la paloma","¡Qué vergüenza, este tipo de lugar necesariamente este país ...","Se acaba de encontrar una manera de secuestrar legislación de ...
caro
No información clara
servicio Sesia
sólo comida mediocre
No tienes cervezas extranjeras
tramonti es mucho mejor
La brasa roja es mucho mejor
fruterias Patty es mucho mejor

Este lugar apesta sinplemente"
"Tamarine Asian Cuisine","Dudo mucho que este sea el mejor restaurante de Bogotá","Traté de ir al restaurante. Pero no pude hacer reserva. Todo fue problemático:  encontrar un teléfono para hacer la reserva; que alguien contestara en ese teléfono; que una vez me contestaran me comunicaran con el restaurante (el teléfono para hacer reservas es el del hotel...Más"
"Rock'N Stop","UN LUGAR PARA NUNCA VOLVER","Aunque el lugar tiene una buena visual, que en efecto evoca las cafeterías de los años 50, su comida es 0 innovadora y el sabor para nada rico (un precio sobre valorado para un producto de muy baja calidad), realmente los platos no corresponden a...Más"
"Restaurante Wok","Pésima atención","Estaba en el Centro Comercial Gran Estación haciendo fila para ingresar, solo que no usamos las sillas para esperar y la encargada se negó a asignarnos un lugar solo por ese detalle, reclamamos atención y nos ignoró diciendo que esa no era la fila. Pésima...atención y eso que los visito regularmente.Más"
"Gigi's","Mala comida, mal servicio, caro","Fuimos para una cena de despedida a la ubicación de la zona G del Gigi, Bogotá: La comida era tan mala que nos estaban enfermos para dos días; tomó los camareros una eternidad para servir y encima de todo eso era muy caro. No vayas...a este restaurante hay muchos más mucho más cerca.Más"
"La Granja Naranja","Pesima Experiencia !!!","Que pesar que un lugar tan lindo y bien pensado carezca de servicio, nos fue realmente mal, la calidad de la comida es buena pero los tiempos son terribles.... que pesar con los pobres meseros que se ganan el mal genio de los clientes, la...Más"
"Casa Brava","Mal servicio, pésimo restaurante","El servicio a la mesa es muy deficiente, tardan mucho en ponerle atención al cliente, pedimos la parrilla de la casa y la presa de pollo tenia plumas, también se pidió un asado de tira y se encontraba como para cortar con serrucho (muy duro)...en conclusión no les recomiendo visitar el restaurante,  coman mejor una salchipapa en la calle, saldran mas satisfechosMás"
"El Boliche, Quinta Camacho","Nada que ver con Macarena","Después de haber visitado el restaurante de la Macarena, y comprarlo con el de quinta Camacho hay cosas a resaltar: 1.) la atención de QC es regular, los meseros no conocen la carta son chicos poco atentos , ni siquiera están pendientes de facturar apropiadamente,...Más"
"Bagatelle","Ten cuidado...","Dónde comienza, el lugar está elegantemente amueblado con gusto y detalle, incluso si el color blanco era desagradable a Claire mi amigo. La comida es más o menos bien, pero si quieres esperar tanto si va a dormirse y tratando de levantarse con pequeñas cantidades....El servicio es más lento que mi abuela. No pido una sonrisa que no tienen. Y finalmente, si quieres un café pide al principio de su comida porque la máquina estará cerrado al final.Más"
"La Chorizeria","Comida fea y caro","Es un lugar donde los chorizos que surven son pequeños, con un sabor poco agradable y lo peor ""los sirven Crudos"".
El lugar está lleno de moscas. 
El precio es costoso para la calidad que sirven. 
Cero recomendados."
"Cuzco","Decepcionante","Ordené un arroz peruano de mariscos, su sabor muy lejos de lo que habría esperado. Como dijo alguien en otra nota: Esta experiencia fue como haber almorzado un ""corrientazo"" a un precio muy alto."
"Mediterránea de Andrei","Decepcionado","Soy cliente habitual de este restaurante y de otros de la misma cadena, en plena jornada de elecciones , pedimos entradas , fuimos en familia, 10 personas, ley seca, tomamos jugos y gaseosas, las patatas bravas, solo patata y nada de chorizo, una burrata pasada...Más"
"Artesanos","La torta de chocolate tenía moho","El día de hoy compré una torta de chocolate para llevar que tenía moho y me dí cuenta solamente hasta que ya había comido un buen pedazo. Esta situación claramente demuestra que este restaurante es sucio y la verdad siento que es una porquería. Además...Más"
"Don Benítez Plaza Central","Malo","Los burritos no tienen sabor, el pollo gratinado el arroz muy malisimo la porcion, realmente eran mas las expectativas"
"Kong","El peor ramen que he probado en mi vida.","Todo en el ramen sabía inmundo. El caldo sabía aguado y a nada, el cerdo tenía un corte demasiado grueso y estaba quemado por encima, un brócoli desabrido, y los noodles ni hablar: espagueti de masacote desabrido. Qué horror de experiencia."
"Jungla Kumba","mala pesima","muy mala la comida lo peor que pueden servir fria sin sabor pase con mi hijo por la cocina y los cocineros gritaban decian grocerias pero la comida fue una estafa de verdad sirven asi als personas"
"Tramonti","Menos mal no logre comer","A l llegada no se respeto mi reserva y tuve que esperar, a los 30 min me dicen que ai quiero la mesa al lado de la orquesta les dije que no, luego me llevaron a la mesa, me parecio de muy mal gusto unos...Más"
